Time, Pos.x, Pos.y, Pos.z, Rot.x, Rot.y, Rot.z
17.30355,3.61,0,0,0,0,0
17.35611,3.61,0,0,0,0,0
17.40838,3.61,0,0,0,0,0
17.45928,3.61,0,0,0,0,0
17.51022,3.61,0,0,0,0,0
17.5616,3.61,0,0,0,0,0
17.61357,3.61,0,0,0,0,0
17.66653,3.61,0,0,0,0,0
17.71987,3.61,0,0,0,0,0
17.77425,3.61,0,0,0,0,0
17.82975,3.61,0,0,0,0,0
17.88677,3.61,0,0,0,0,0
17.9392,3.61,0,0,0,0,0
17.99038,3.61,0,0,0,0,0
18.0407,3.61,0,0,0,0,0
18.09217,3.39,0,0,0,0,0
18.14601,0.97,0,0,0,0,0
18.20098,-1.03,0,0,0,0,0
18.25157,-2.49,0,0,0,0,0
18.30159,-3.47,0,0,0,0,0
18.35707,-4.56,0,0,0,0,0
18.40732,-4.65,0,0,0,0,0
18.46314,-4.65,0,0,0,0,0
18.51562,-4.65,0,0,0,0,0
18.56782,-4.65,0,0,0,0,0
18.62001,-4.65,0,0,0,0,0
18.67147,-4.56,0,0,0,0,0
18.72211,-4.56,0,0,0,0,0
18.77285,-4.56,0,0,0,0,0
18.82506,-4.56,0,0,0,0,0
18.87551,-4.56,0,0,0,0,0
18.92754,-4.56,0,0,0,0,0
18.98312,-4.56,0,0,0,0,0
19.03312,-4.56,0,0,0,0,0
19.09053,-4.56,0,0,0,0,0
19.14537,-4.56,0,0,0,0,0
19.20111,-4.56,0,0,0,0,0
19.25981,-4.56,0,0,0,0,0
19.31148,-4.56,0,0,0,0,0
19.36191,-4.56,0,0,0,0,0
19.41774,-4.56,0,0,0,0,0
19.47375,-4.56,0,0,0,0,0
19.52969,-4.56,0,0,0,0,0
19.58381,-4.56,0,0,0,0,0
19.63893,-4.56,0,0,0,0,0
19.6942,-4.56,0,0,0,0,0
19.74932,-4.56,0,0,0,0,0
19.80463,-4.56,0,0,0,0,0
19.85559,-4.56,0,0,0,0,0
19.90811,-4.56,0,0,0,0,0
19.96005,-4.56,0,0,0,0,0
20.01128,-4.56,0,0,0,0,0
20.06685,-4.56,0,0,0,0,0
20.11869,-4.56,0,0,0,0,0
20.17288,-4.56,0,0,0,0,0
20.22485,-4.56,0,0,0,0,0
20.27642,-4.56,0,0,0,0,0
20.32656,-4.56,0,0,0,0,0
20.37659,-4.56,0,0,0,0,0
20.43112,-4.56,0,0,0,0,0
20.48542,-4.56,0,0,0,0,0
20.5399,-4.56,0,0,0,0,0
20.59497,-4.56,0,0,0,0,0
20.651,-4.56,0,0,0,0,0
20.7014,-4.56,0,0,0,0,0
20.75142,-4.56,0,0,0,0,0
20.8079,-4.56,0,0,0,0,0
20.85844,-4.56,0,0,0,0,0
20.90894,-4.56,0,0,0,0,0
20.96009,-4.56,0,0,0,0,0
21.01123,-4.56,0,0,0,0,0
21.06231,-4.56,0,0,0,0,0
21.11294,-4.56,0,0,0,0,0
21.16445,-4.56,0,0,0,0,0
21.21602,-4.56,0,0,0,0,0
21.27108,-4.56,0,0,0,0,0
21.32147,-4.56,0,0,0,0,0
21.37781,-4.56,0,0,0,0,0
21.42966,-4.56,0,0,0,0,0
21.4798,-4.56,0,0,0,0,0
21.5335,-4.56,0,0,0,0,0
21.58728,-4.56,0,0,0,0,0
21.63861,-4.56,0,0,0,0,0
21.68869,-4.56,0,0,0,0,0
21.7389,-4.56,0,0,0,0,0
21.7889,-4.56,0,0,0,0,0
21.83921,-4.56,0,0,359.1258,0,0
21.88936,-4.56,0,0,357.7584,0,0
21.94032,-4.56,0,0,356.5135,0,0
21.99228,-4.56,0,0,355.7691,0,0
22.04595,-4.56,0,0,356.0225,0,0
22.10063,-4.56,0,0,355.6492,0,0
22.16619,-4.56,0,0,355.6492,0,0
22.22193,-4.56,0,0,355.6492,0,0
22.28269,-4.56,0,0,355.6492,0,0
22.33503,-4.56,0,0,355.8963,0,0
22.38803,-4.56,0,0,357.2805,0,0
22.43822,-4.56,0,0,358.787,0,0
22.48984,-4.56,0,0,359.4136,0,0
22.54222,-4.56,0,0,359.667,0,0
22.59469,-4.56,0,0,359.667,0,0
22.65111,-4.56,0,0,1.427654,0,0
22.70333,-4.56,0,0,3.938749,0,0
22.75539,-4.56,0,0,10.47999,0,0
22.80834,-4.56,0,0,14.00447,0,0
22.85886,-4.56,0,0,15.26309,0,0
22.91114,-4.56,0,0,20.67635,0,0
22.96732,-4.56,0,0,25.96614,0,0
23.02088,-4.56,0,0,27.22477,0,0
23.07282,-4.56,0,0,27.60011,0,0
23.12724,-4.56,0,0,27.60011,0,0
23.18147,-4.56,0,0,27.60011,0,0
23.23228,-4.56,0,0,27.60011,0,0
23.28275,-4.56,0,0,27.60011,0,0
23.33295,-4.56,0,0,27.60011,0,0
23.38306,-4.56,0,0,27.60011,0,0
23.43883,-4.56,0,0,27.60011,0,0
23.4951,-4.56,0,0,27.60011,0,0
23.54989,-4.56,0,0,27.60011,0,0
23.60494,-4.56,0,0,27.60011,0,0
23.66173,-4.56,0,0,27.60011,0,0
23.71235,-4.56,0,0,27.60011,0,0
23.76484,-4.56,0,0,27.60011,0,0
23.81661,-4.56,0,0,27.60011,0,0
23.86859,-4.56,0,0,27.60011,0,0
23.92072,-4.56,0,0,27.60011,0,0
23.97156,-4.56,0,0,27.60011,0,0
24.02197,-4.56,0,0,27.60011,0,0
24.07288,-4.56,0,0,27.60011,0,0
24.12441,-4.56,0,0,27.60011,0,0
24.17522,-4.56,0,0,27.60011,0,0
24.22676,-4.56,0,0,27.60011,0,0
24.27875,-4.56,0,0,27.60011,3.763308E-08,359.7175
24.33435,-4.56,0,0,27.60011,1.806388E-07,357.7327
24.38495,-4.56,0,0,27.60011,8.429807E-07,352.6177
24.44349,-4.56,0,0,27.60011,7.225549E-07,348.6374
24.49481,-4.56,0,0,27.60011,9.634067E-07,341.2493
24.5479,-4.56,0,0,27.60011,1.44511E-06,337.6969
24.59869,-4.56,0,0,27.60011,1.44511E-06,337.269
24.65131,-4.56,0,0,27.60011,1.44511E-06,337.269
24.70569,-4.56,0,0,27.60011,1.44511E-06,337.269
24.76015,-4.56,0,0,27.60011,1.44511E-06,337.269
24.8124,-4.56,0,0,27.60011,1.44511E-06,337.269
24.86285,-4.56,0,0,27.60011,1.44511E-06,337.269
24.91679,-4.56,0,0,27.60011,1.44511E-06,337.269
24.9675,-4.56,0,0,27.60011,1.44511E-06,337.269
25.0186,-4.56,0,0,27.60011,1.44511E-06,337.269
25.07022,-4.56,0,0,27.60011,1.44511E-06,337.269
25.12652,-4.56,0,0,27.60011,1.44511E-06,337.269
25.1787,-4.56,0,0,27.60011,1.44511E-06,337.269
25.23331,-4.56,0,0,27.60011,1.44511E-06,337.269
25.2847,-4.56,0,0,27.60011,1.44511E-06,337.269
25.33603,-4.56,0,0,27.60011,1.44511E-06,337.269
25.39243,-4.56,0,0,27.60011,1.44511E-06,337.269
25.44836,-4.56,0,0,27.60011,1.44511E-06,337.269
25.49839,-4.56,0,0,27.60011,1.44511E-06,337.269
25.55313,-4.56,0,0,27.60011,1.44511E-06,337.269
25.60938,-4.56,0,0,27.60011,1.44511E-06,337.269
25.65953,-4.56,0,0,27.60011,1.44511E-06,337.269
25.71493,-4.56,0,0,27.60011,1.44511E-06,337.269
25.76546,-4.56,0,0,27.60011,1.44511E-06,337.269
25.81601,-4.56,0,0,27.60011,1.44511E-06,337.269
25.86617,-4.56,0,0,27.60011,1.44511E-06,337.269
25.91662,-4.56,0,0,27.60011,1.44511E-06,337.269
25.96723,-4.56,0,0,27.60011,1.44511E-06,337.269
26.01789,-4.56,0,0,27.60011,1.44511E-06,337.269
26.06843,-4.56,0,0,27.60011,1.44511E-06,337.269
26.11949,-4.56,0,0,27.60011,1.44511E-06,337.269
26.17023,-4.56,0,0,27.60011,1.44511E-06,337.269
26.22104,-4.56,0,0,27.60011,1.44511E-06,337.269
26.27255,-4.56,0,0,27.60011,1.44511E-06,337.269
26.32881,-4.56,0,0,27.60011,1.44511E-06,337.269
26.37974,-4.27,0.62,0.32,27.60011,1.44511E-06,337.269
26.43139,-3.36,2.55,1.33,27.60011,1.44511E-06,337.269
26.48743,-3.12,3.04,1.59,27.60011,1.44511E-06,337.269
26.53839,-3.12,3.04,1.59,27.60011,1.44511E-06,337.269
26.58899,-3.12,3.04,1.59,27.60011,1.44511E-06,337.269
26.63997,-3.08,3.12,1.63,27.60011,1.44511E-06,337.269
26.69423,-3.08,3.12,1.63,27.60011,1.44511E-06,337.269
26.7498,-3.05,3.2,1.67,27.60011,1.44511E-06,337.269
26.80188,-3.01,3.28,1.71,27.60011,1.44511E-06,337.269
26.85622,-3.01,3.28,1.71,27.60011,1.44511E-06,337.269
26.90645,-2.97,3.36,1.76,27.60011,1.44511E-06,337.269
26.95964,-2.9,3.51,1.84,27.60011,1.44511E-06,337.269
27.01282,-2.68,3.97,2.07,27.60011,1.44511E-06,337.269
27.08341,-2.31,4.75,2.48,27.60011,1.44511E-06,337.269
27.13811,-1.6,6.26,3.28,27.60011,1.44511E-06,337.269
27.20831,-1.36,6.77,3.54,27.60011,1.44511E-06,337.269
27.26244,-1.26,6.99,3.65,27.60011,1.44511E-06,337.269
27.31717,-1.23,7.04,3.68,27.60011,1.44511E-06,337.269
27.38329,-1.23,7.04,3.68,27.60011,1.44511E-06,337.269
27.43903,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.50678,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.56282,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.61844,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.66867,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.71875,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.76939,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.82083,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.8712,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.92157,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
27.97158,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.02631,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.08107,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.13685,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.19241,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.24793,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.29805,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.3586,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.41366,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.46552,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.51604,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.56684,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.61733,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.66738,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.71936,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.77192,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.82569,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.88066,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.93403,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
28.98787,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.0412,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.09319,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.14754,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.20035,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.25127,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.304,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.38347,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.43707,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.49641,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.54678,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.59818,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.64981,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
29.70638,-1.21,7.1,3.71,27.60011,1.44511E-06,337.269
